,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
962,767286,Last-Minute Bookings private room,4040811,Vance,Manhattan,Upper West Side,40.79543,-73.97359,Private room,103,2,64,23/11/21,1.27,2,346
965,771430,Massive Room With a Balcony!,3562322,Lord Daniel,Brooklyn,Bedford-Stuyvesant,40.68582,-73.95151,Private room,55,5,48,27/11/21,0.97,5,5
969,773885,Two-Bedroom Designer's Circus Loft,1679238,Viveca,Brooklyn,Bedford-Stuyvesant,40.69908,-73.95317,Entire home/apt,91,30,42,16/05/21,1.93,3,10
974,776845,Cozy Quiet Bedroom Upper East Side,4097085,Max,Manhattan,Upper East Side,40.77922,-73.94933,Private room,100,30,41,09/09/17,0.44,1,362
975,777097,Historic Brownstone Oasis,2837163,Emily,Brooklyn,Bedford-Stuyvesant,40.68167,-73.93801,Private room,115,30,2,07/09/15,0.02,1,178
979,781865,"Sunny, Newly Redecorated Apt in Hip Brooklyn Area",2239196,Tracey,Brooklyn,Crown Heights,40.67662,-73.95913,Entire home/apt,135,3,30,27/11/21,0.32,1,0
984,784122,New Renovation:Manhattan Charm....Brooklyn Flavor!,3483450,Aswad,Brooklyn,Bedford-Stuyvesant,40.68139,-73.91538,Entire home/apt,165,30,96,09/11/20,1.4,4,364
986,785097,Beautiful New Apartment/ spacious,4137840,Angie,Bronx,Melrose,40.82301,-73.91396,Private room,65,4,10,10/10/15,0.13,1,335
990,787060,Nice Room Empire State building (2),3922831,Serra,Manhattan,Murray Hill,40.74793,-73.98017,Private room,70,30,7,31/01/21,0.07,3,269
993,789302,"THE NEST - Style, luxe & simplicity",1119998,Edoardo,Manhattan,Chelsea,40.74222,-74.00381,Entire home/apt,255,60,8,31/08/17,0.07,1,281
996,790953,Luminous and Beautiful 1 bed Great Location,4167027,Jimena,Brooklyn,Kensington,40.64554,-73.97543,Entire home/apt,111,30,31,24/07/21,0.42,2,349
1022,805315,Female only room in cozy and convenient location,3820014,Sandra,Brooklyn,Williamsburg,40.71912,-73.95976,Private room,120,3,13,16/11/21,0.65,3,72
1023,808139,Fabulous Garden Apartment in Central Harlem,3467798,Laila,Manhattan,Harlem,40.80864,-73.9444,Entire home/apt,140,30,4,07/08/21,0.04,3,345
1028,808836,Luxury duplex apt in Williamsburg,3948855,Sabrina,Brooklyn,Williamsburg,40.71652,-73.9409,Entire home/apt,250,14,36,03/01/20,0.35,1,112
1034,812695,Park Slope Brooklyn great location,1201534,Christine,Brooklyn,Park Slope,40.66912,-73.98506,Private room,165,30,135,29/06/17,1.51,1,0
1039,815544,Modern 2br2ba Duplex Penthouse w/2 outdoor spaces,4284566,Abril,Manhattan,Tribeca,40.71722,-74.00617,Entire home/apt,800,30,0,,,1,0
1042,817162,Barclays Beauty Haven,1658532,Chana,Brooklyn,Park Slope,40.68205,-73.97765,Private room,150,1,3,07/11/21,1.8,2,76
1043,817355,Greenwich Village Zen Artist Oasis,4293110,Ella,Manhattan,Greenwich Village,40.7297,-73.9989,Entire home/apt,109,60,59,11/03/17,0.56,1,0
1053,819416,Brooklyn Holiday Retreat,4103779,Rachel,Brooklyn,Flatbush,40.6522,-73.96309,Entire home/apt,110,30,6,31/03/21,0.26,2,2
1093,847648,"Charming Apt in Historic Sugar Hill, Harlem",3989285,Virginia (ViVi),Manhattan,Harlem,40.82771,-73.94468,Entire home/apt,120,30,12,01/11/21,0.16,1,212
1094,848071,1 BEDROOM APT -  Lower East Side,4427679,Marcell,Manhattan,Chinatown,40.71738,-73.99231,Entire home/apt,79,4,55,26/09/21,0.71,1,12
1106,851530,Central 1.5 bedroom apartment with rooftop & gym,4445616,Kirsten,Manhattan,Midtown,40.74225,-73.98343,Entire home/apt,199,1,8,11/10/21,0.34,1,0
1110,853142,A Happy Place,4454372,Patricia,Manhattan,Washington Heights,40.83783,-73.93977,Entire home/apt,100,30,50,25/08/19,0.79,1,360
1114,855542,Large Furnished Bedroom,4470717,Izzy And Mar,Manhattan,Washington Heights,40.84488,-73.9397,Private room,53,30,0,,,1,317
1141,882523,Neat comfy abode in hip fun hood,727039,Maura,Brooklyn,Williamsburg,40.71234,-73.95382,Private room,90,1,17,17/11/21,0.45,1,55
1143,883480,"Beautiful, large, Morningside apt",4676971,Elisabeth,Manhattan,Upper West Side,40.80196,-73.96349,Entire home/apt,185,30,84,31/05/21,0.84,1,140
1160,898534,"Light and Airy, Prime Williamsburg",1928378,Marisol And Maneesh,Brooklyn,Williamsburg,40.70932,-73.96574,Entire home/apt,229,30,10,13/10/18,0.1,1,0
1163,902599,MODERN LUXURY STUDIO - TIMES SQUARE,1510984,Rj,Manhattan,Theater District,40.76273,-73.98306,Entire home/apt,179,30,14,27/09/15,0.13,1,2
1164,903551,"Brooklyn Loft, 180 degree views",4830421,Marvin,Brooklyn,Williamsburg,40.70333,-73.93645,Private room,150,6,4,31/08/15,0.05,1,363
